,ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.flags,tcp.analysis.ack_rtt,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
82,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,7.0,16.0,0.0009550000000000001,0.0,0.0,53.340502,0.0009550000000000001,0.00488,0.0009550000000000001,benign
83,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,7.0,24.0,0.0,0.0,0.0,53.349287,0.008785,0.013665,0.008785,benign
84,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,7.0,16.0,0.0029289999999999997,0.0,0.0,53.352216000000006,0.0029289999999999997,0.016594,0.0029289999999999997,benign
85,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,7.0,17.0,0.0,0.0,0.0,53.353189,0.000973,0.017567,0.000973,benign
86,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,7.0,17.0,0.00098,0.0,0.0,53.35416899999999,0.00098,0.018547,0.00098,benign
87,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,7.0,16.0,0.0019510000000000003,0.0,0.0,53.35612,0.0019510000000000003,0.020498,0.0019510000000000003,benign
88,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.84917900000001,3.4930589999999997,0.0,0.0,benign
89,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,58.366130000000005,1.516951,0.0,0.0,benign
90,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,8.0,18.0,0.0029230000000000003,0.0,0.0,58.369053,0.0029230000000000003,0.0029230000000000003,0.0029230000000000003,benign
91,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,8.0,16.0,0.001952,0.0,0.0,58.371005000000004,0.001952,0.004875,0.001952,benign
